ID,Representative,Cluster,Cluster_Size,Genome,Genome_Type,Cluster_TssC_Type
ChrNC_002506.1|88|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NC_002506.1,Chr,Chr
ChrNC_016945.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NC_016945.1,Chr,Chr
ChrNC_009456.1|26|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NC_009456.1,Chr,Chr
ChrNZ_CP046838.1|32|WP_184480219.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046838.1,Chr,Chr
ChrNZ_CP024868.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP024868.1,Chr,Chr
ChrNZ_AP024548.1|798|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_AP024548.1,Chr,Chr
ChrNZ_AP024550.1|480|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_AP024550.1,Chr,Chr
ChrNZ_AP024552.1|865|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_AP024552.1,Chr,Chr
ChrNZ_CP046750.1|326|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046750.1,Chr,Chr
ChrNZ_CP046748.1|824|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046748.1,Chr,Chr
ChrNZ_CP046746.1|775|WP_000108142.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046746.1,Chr,Chr
ChrNZ_AP024554.1|496|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_AP024554.1,Chr,Chr
ChrNZ_CP046743.1|883|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046743.1,Chr,Chr
ChrNZ_AP014525.1|87|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_AP014525.1,Chr,Chr
ChrNZ_AP024556.1|773|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_AP024556.1,Chr,Chr
ChrNZ_CP046741.1|209|WP_162796413.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046741.1,Chr,Chr
ChrNZ_CP024163.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP024163.1,Chr,Chr
ChrNZ_CP072848.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP072848.1,Chr,Chr
ChrNZ_CP072850.1|94|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP072850.1,Chr,Chr
ChrNZ_CP046841.1|593|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046841.1,Chr,Chr
ChrNZ_AP018677.1|1658|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_AP018677.1,Chr,Chr
ChrNZ_CP053823.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP053823.1,Chr,Chr
ChrNZ_CP009041.1|91|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP009041.1,Chr,Chr
ChrNZ_CP077198.1|38|WP_220285568.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP077198.1,Chr,Chr
ChrNZ_CP090400.1|63|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP090400.1,Chr,Chr
ChrNZ_CP090386.1|83|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP090386.1,Chr,Chr
ChrNZ_CP047306.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP047306.1,Chr,Chr
ChrNZ_CP025937.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP025937.1,Chr,Chr
ChrNZ_CP047304.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP047304.1,Chr,Chr
ChrNZ_CP047302.1|94|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP047302.1,Chr,Chr
ChrNZ_CP047300.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP047300.1,Chr,Chr
ChrNZ_CP047298.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP047298.1,Chr,Chr
ChrNZ_CP047296.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP047296.1,Chr,Chr
ChrNZ_CP047060.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP047060.1,Chr,Chr
ChrNZ_CP046845.1|377|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046845.1,Chr,Chr
ChrNZ_CP022352.1|337|WP_181710700.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP022352.1,Chr,Chr
ChrNZ_CP020407.2|1013|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP020407.2,Chr,Chr
ChrNZ_CP013320.1|91|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013320.1,Chr,Chr
ChrNZ_CP013318.1|90|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013318.1,Chr,Chr
ChrNZ_CP013316.1|952|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013316.1,Chr,Chr
ChrNZ_CP042300.1|28|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP042300.1,Chr,Chr
ChrNZ_CP006948.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP006948.1,Chr,Chr
ChrNZ_CP063421.1|973|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP063421.1,Chr,Chr
ChrNC_012580.1|92|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NC_012580.1,Chr,Chr
ChrNC_012583.1|92|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NC_012583.1,Chr,Chr
ChrNC_012667.1|129|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NC_012667.1,Chr,Chr
ChrNZ_CP028828.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP028828.1,Chr,Chr
ChrNZ_CP043556.1|634|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP043556.1,Chr,Chr
ChrNZ_CP028893.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP028893.1,Chr,Chr
ChrNZ_CP012666.1|90|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP012666.1,Chr,Chr
ChrNZ_CP040173.1|584|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP040173.1,Chr,Chr
ChrNZ_CP064351.1|147|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP064351.1,Chr,Chr
ChrNZ_CP010811.1|1737|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP010811.1,Chr,Chr
ChrNZ_CP010812.1|896|WP_032469832.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP010812.1,Chr,Chr
ChrNZ_CP033513.1|444|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP033513.1,Chr,Chr
ChrNZ_CP036500.1|79|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP036500.1,Chr,Chr
ChrNZ_CP028895.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP028895.1,Chr,Chr
ChrNZ_CP053821.1|94|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP053821.1,Chr,Chr
ChrNZ_CP043558.1|540|WP_181710700.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP043558.1,Chr,Chr
ChrNZ_CP012997.1|28|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP012997.1,Chr,Chr
ChrNZ_CP013314.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013314.1,Chr,Chr
ChrNZ_CP013312.1|393|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013312.1,Chr,Chr
ChrNZ_CP013310.1|206|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013310.1,Chr,Chr
ChrNZ_CP013308.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013308.1,Chr,Chr
ChrNZ_CP013306.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013306.1,Chr,Chr
ChrNZ_CP013304.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013304.1,Chr,Chr
ChrNZ_CP013302.1|93|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013302.1,Chr,Chr
ChrNC_016446.1|842|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NC_016446.1,Chr,Chr
ChrNZ_CP026532.1|842|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP026532.1,Chr,Chr
ChrNZ_CP046739.1|614|WP_000108142.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046739.1,Chr,Chr
ChrNZ_CP046738.1|96|WP_184478364.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046738.1,Chr,Chr
ChrNZ_AP024968.1|89|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_AP024968.1,Chr,Chr
ChrNZ_CP046735.1|225|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP046735.1,Chr,Chr
ChrNZ_CP045718.1|26|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP045718.1,Chr,Chr
ChrNZ_CP007635.1|851|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP007635.1,Chr,Chr
ChrNZ_CP013013.1|27|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP013013.1,Chr,Chr
ChrNZ_CP026648.1|849|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP026648.1,Chr,Chr
ChrNZ_CP053817.1|95|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP053817.1,Chr,Chr
ChrNZ_CP024083.1|89|WP_000108140.1,ChrNC_002506.1|88|WP_000108140.1,1,102,NZ_CP024083.1,Chr,Chr
