Plasmid,%GC,Size_bp,GC_bp,Putative_plasmid_T6SS,Transmissible_plasmid
NZ_CP050094.1,60.89894219235363,385987,235062,Absent,Non-transmissible
NZ_CP012168.1,55.03660828509874,239973,132073,Absent,Transmissible
NZ_CP049360.1,60.22216569151191,58965,35510,Absent,Non-transmissible
NZ_CP040888.1,46.8974442718174,327617,153644,Absent,Transmissible
NZ_MT039180.1,50.741165322607365,150911,76574,Absent,Transmissible
NZ_AP018729.1,41.77667240609655,15681,6551,Absent,Non-transmissible
NZ_MT499885.1,42.809718996929696,64163,27468,Absent,Transmissible
NZ_CP084009.1,29.80861452611387,45876,13675,Absent,Transmissible
NZ_CP050548.1,38.97732074940132,14198,5534,Absent,Non-transmissible
NC_024960.1,48.43835052153061,67973,32925,Absent,Non-transmissible
NZ_CP022670.1,58.780078094581214,179782,105676,Absent,Transmissible
NZ_CP037836.1,28.230253970508176,42249,11927,Absent,Non-transmissible
NZ_CP003997.1,45.980164128669855,45574,20955,Absent,Transmissible
NZ_LR131958.1,55.80335731414869,8340,4654,Absent,Transmissible
NZ_LR135343.1,34.07695861659296,15151,5163,Absent,Non-transmissible
NZ_CP015275.1,64.85031430883177,32134,20839,Absent,Transmissible
NC_005570.1,46.97986577181208,2682,1260,Absent,Non-transmissible
NZ_CP068303.1,51.552463547126656,52465,27047,Absent,Non-transmissible
NZ_CP028476.1,57.42126598066729,64140,36830,Absent,Non-transmissible
NZ_CP022349.1,53.465955216469496,126877,67836,Absent,Transmissible
NZ_CP050729.1,45.73553173375958,230228,105296,Absent,Transmissible
NZ_CP075279.1,56.60985046533514,47815,27068,Absent,Non-transmissible
NZ_MH067970.1,59.04300841774496,78287,46223,Absent,Transmissible
NC_010936.1,35.572089282123464,4973,1769,Absent,Transmissible
NZ_CP091591.1,52.78483450571824,109037,57555,Absent,Transmissible
NZ_CP043819.1,51.58069883527454,4207,2170,Absent,Transmissible
NZ_CP066527.1,51.14367405289492,5596,2862,Absent,Transmissible
NZ_CP088992.1,51.14367405289492,5596,2862,Absent,Transmissible
NZ_CP026527.1,62.44469521381734,1676618,1046959,Absent,Transmissible
NZ_CP034755.1,52.90045937983722,160216,84755,Absent,Non-transmissible
NZ_CP028042.1,56.04767745720228,37502,21019,Absent,Non-transmissible
NZ_CP018476.1,62.29143971102575,69764,43457,Absent,Transmissible
NZ_CP027421.1,30.37987404529009,29852,9069,Absent,Non-transmissible
NZ_CP091645.1,26.017379957773407,110357,28712,T6SS,Non-transmissible
NZ_CP037305.1,28.85985748218528,842,243,Absent,Non-transmissible
NZ_CP033130.1,38.375423818520666,311749,119635,Absent,Non-transmissible
NC_018022.1,65.67714106468945,615278,404097,Absent,Transmissible
NZ_CP085071.1,49.96807480793392,48551,24260,Absent,Transmissible
NZ_CP095658.1,51.76761741486817,72329,37443,Absent,Non-transmissible
NZ_CP072256.1,32.54600686801092,45428,14785,Absent,Transmissible
NZ_CP063857.1,52.921372485748094,92970,49201,Absent,Non-transmissible
NC_017811.1,16.300410528857764,4141,675,Absent,Non-transmissible
NZ_CP040632.1,39.624664879356565,5595,2217,Absent,Non-transmissible
NZ_CP020610.1,33.749628308058284,3363,1135,Absent,Non-transmissible
NZ_CP083046.1,52.19019703631331,6141,3205,Absent,Transmissible
NZ_CP073263.1,55.01639581424507,580636,319445,Absent,Non-transmissible
NZ_CP067430.1,47.23465129286237,92972,43915,Absent,Non-transmissible
NZ_CP010244.1,48.48830022075055,113250,54913,Absent,Non-transmissible
NZ_MK973085.1,39.69642857142857,5600,2223,Absent,Transmissible
NZ_CP024427.1,68.67953156201223,114679,78761,Absent,Non-transmissible
NZ_CP018618.1,40.70352570574694,123805,50393,Absent,Transmissible
NZ_CP044512.1,33.36539906808958,66530,22198,Absent,Non-transmissible
NZ_CP005961.1,55.08413883150797,410512,226127,Absent,Transmissible
NZ_LT985226.1,51.58104099244876,118656,61204,Absent,Transmissible
NZ_CP018342.1,51.223501289551486,63588,32572,Absent,Transmissible
NZ_CP061746.1,48.59340023101771,348891,169538,Absent,Non-transmissible
NZ_CP031840.1,27.03607288955002,2689,727,Absent,Non-transmissible
NZ_CP082982.1,52.024631461093485,5359,2788,Absent,Transmissible
NZ_CP045259.1,50.16834349996039,100984,50662,Absent,Non-transmissible
NZ_OW970458.1,41.12407211028632,4715,1939,Absent,Non-transmissible
NZ_CP045462.1,52.78018149947858,90138,47575,Absent,Non-transmissible
NZ_CP095778.1,54.48446673734665,112243,61155,Absent,Transmissible
NZ_CP093049.1,29.15286777057836,20835,6074,Absent,Transmissible
NZ_CP040866.1,30.338983050847457,2360,716,Absent,Non-transmissible
NZ_CP065646.1,41.3514273660526,28444,11762,Absent,Transmissible
NZ_CP064439.1,36.90917516218721,4316,1593,Absent,Transmissible
NZ_CP026237.1,53.10326047645589,235027,124807,Absent,Non-transmissible
NZ_CP040310.1,47.8121813791253,93175,44549,Absent,Non-transmissible
NZ_CP066738.1,38.78787878787879,1980,768,Absent,Non-transmissible
NZ_CP056130.1,51.464619131376,118256,60860,Absent,Non-transmissible
NZ_AB931111.1,41.84192353568962,15929,6665,Absent,Non-transmissible
NZ_LT821324.1,36.85615158793701,7494,2762,Absent,Non-transmissible
NC_011352.1,40.14854605749993,36487,14649,Absent,Transmissible
