Chromosome,Chr_Size_bp,Chr_GC_count,Chr_%GC,Chr_AT_count,Chr_%AT
NC_013791.2,3858997,1553916,40.2673544446912,2305081,59.7326455553088
NC_007164.1,2462499,1511862,61.39543609966948,950637,38.60456390033052
NC_004088.1,4600755,2191853,47.6411588967463,2408902,52.3588411032537
NC_002620.2,1072950,432791,40.336548767416936,640159,59.66345123258306
NC_002488.3,2679306,1411300,52.67408799144256,1268006,47.32591200855744
NC_004337.2,4607202,2344581,50.8894769536912,2262621,49.1105230463088
NC_003197.2,4857450,2536643,52.22170068657423,2320807,47.77829931342577
NC_003047.1,3654135,2292200,62.72893584938706,1361935,37.271064150612936
NC_003919.1,5175554,3352304,64.77188722212153,1823250,35.228112777878465
NC_004556.1,2519802,1304662,51.77636973063757,1215140,48.22363026936243
NC_004307.2,2256640,1356688,60.11982416335791,899952,39.88017583664209
NC_003361.3,1173390,460238,39.22293525596776,713152,60.777064744032245
NC_004557.1,2799251,804765,28.749297579959784,1994486,71.25070242004021
NC_004461.1,2499279,802148,32.095176248830164,1697131,67.90482375116983
NC_004545.1,615980,156098,25.341407188545084,459882,74.65859281145492
NC_002971.4,1995488,851308,42.66164467037637,1144180,57.33835532962363
NC_004668.1,3218031,1207643,37.52738864230954,2010388,62.47261135769046
NC_004578.1,6397126,3735850,58.39888099749794,2661276,41.60111900250206
NC_004722.1,5411809,1909320,35.28062427923824,3502489,64.71937572076176
NC_005810.1,4595065,2189552,47.6500767671404,2405513,52.3499232328596
NC_003909.8,5224283,1858599,35.57615466084054,3365684,64.42384533915947
NC_006905.1,4755700,2480416,52.156696175116174,2275284,47.84330382488383
NC_005835.1,1894877,1315751,69.43727745917018,579126,30.562722540829824
NC_007530.2,5227419,1849312,35.3771526636759,3378107,64.6228473363241
NC_005957.1,5237682,1854419,35.405337704732744,3383263,64.59466229526726
NC_001263.1,2648638,1774862,67.01036532738713,873776,32.989634672612866
NC_001264.1,412348,274987,66.68808870177617,137361,33.31191129822383
NC_000918.1,1551335,674461,43.4761673010665,876874,56.5238326989335
NC_001318.1,910724,260406,28.59329500485328,650318,71.40670499514673
NC_003030.1,3940880,1218748,30.925783073831223,2722132,69.07421692616877
NC_002695.2,5498578,2778819,50.53704794221343,2719759,49.46295205778657
NC_007929.1,1827111,601873,32.9412389285599,1225238,67.0587610714401
NC_010816.1,2375792,1428946,60.14609023012115,946846,39.85390976987885
NC_003143.1,4653728,2216855,47.63611023248458,2436873,52.36388976751542
NC_003295.1,3716413,2491371,67.03697893640992,1225042,32.96302106359008
NC_007508.1,5178466,3352971,64.74834439388034,1825495,35.251655606119655
NC_009089.1,4290252,1246770,29.06053071008416,3043482,70.93946928991583
NC_008380.1,5057142,3089427,61.09037476108047,1967715,38.90962523891953
NC_008313.1,4052032,2693220,66.46591142419409,1358812,33.53408857580591
NC_008314.1,2912490,1945087,66.78433230672037,967403,33.21566769327963
NC_008229.1,1553927,593251,38.17753343625537,960676,61.82246656374463
NC_008800.1,4615899,2181984,47.27105164129458,2433915,52.72894835870542
NC_011000.1,3870082,2580623,66.68135197135358,1289459,33.31864802864642
NC_011001.1,3217062,2164312,67.27604255062539,1052750,32.72395744937461
NC_011002.1,875977,586169,66.91602633402475,289808,33.08397366597525
NC_017333.1,2872582,945713,32.92205409627993,1926869,67.07794590372006
NC_002528.1,640681,168579,26.31247063671312,472102,73.68752936328687
NC_002678.2,7036071,4414928,62.74706437726396,2621143,37.25293562273604
NC_002745.2,2814816,924484,32.843496697475075,1890332,67.15650330252492
NC_002758.2,2878529,946397,32.87779973729638,1932132,67.12220026270361
NC_003366.1,3031430,865960,28.566056283668104,2165470,71.4339437163319
NC_003272.1,6413771,2651937,41.34754733213892,3761834,58.65245266786108
NC_000911.1,3573470,1705269,47.72025510218359,1868201,52.27974489781641
NC_005139.1,3354505,1556871,46.41134832113829,1797634,53.58865167886171
NC_005140.1,1857073,876801,47.214137516403504,980272,52.785862483596496
NC_003155.5,9025608,6382599,70.71655449693804,2643009,29.283445503061955
NC_006510.1,3544776,1846339,52.08619670185084,1698437,47.91380329814916
NC_006361.1,6021225,4265040,70.83342675286175,1756185,29.16657324713825
NC_007168.1,2685015,880486,32.7925914752804,1804529,67.2074085247196
NC_012731.1,5248520,3027175,57.67673553687516,2221345,42.32326446312484
NC_006347.1,5277274,2283268,43.26604985831701,2994006,56.733950141683
NC_007899.1,1166239,459211,39.3753767452469,707028,60.6246232547531
NC_007712.1,4171146,2281575,54.6989963909199,1889571,45.3010036090801
NC_012490.1,6516310,4060558,62.31376346429191,2455752,37.68623653570809
NC_007350.1,2516575,836506,33.239859729990165,1680069,66.76014027000983
NC_010376.1,1797577,580847,32.3127743623778,1216730,67.68722563762219
NC_009342.1,3314179,1794066,54.133044714844914,1520113,45.866955285155086
NC_011837.1,3896121,1246511,31.99364188124548,2649610,68.00635811875452
NC_011415.1,4887515,2482689,50.79654998501283,2404826,49.20345001498717
NC_013654.1,4717338,2393503,50.738424933723216,2323835,49.261575066276784
NC_010804.1,3448421,2305926,66.8690394821282,1142495,33.1309605178718
NC_010805.1,2473162,1660303,67.13280407834182,812859,32.86719592165818
NC_010801.1,919805,605003,65.77513712145509,314802,34.22486287854491
NC_011999.1,2102324,775271,36.87685627905118,1327053,63.12314372094882
NC_012796.1,5248049,3294170,62.76942155075152,1953879,37.23057844924848
NC_013854.1,3311395,2243809,67.76023397993897,1067586,32.239766020061026
NC_013353.1,5449314,2760359,50.65516503545217,2688955,49.34483496454783
NC_013364.1,5371077,2718682,50.617073633463086,2652395,49.382926366536914
NC_012522.1,7913450,5372821,67.8947993605823,2540629,32.1052006394177
NC_013209.1,2907495,1542043,53.03682379505382,1365452,46.96317620494618
NC_017100.1,2907287,1541954,53.03755700761569,1365333,46.96244299238431
NC_017121.1,2906044,1541235,53.0355011830516,1364809,46.9644988169484
NC_017125.1,2907267,1541941,53.037474714224736,1365326,46.962525285775264
NC_017146.1,2907309,1541967,53.03760281414876,1365342,46.962397185851245
NC_017111.1,2904642,1540455,53.03424656119412,1364187,46.96575343880588
NC_017150.1,2815241,1494484,53.085472966612805,1320757,46.9145270333872
NC_017108.1,2904624,1540444,53.03419650873917,1364180,46.96580349126083
NC_013939.1,2234389,695303,31.118260965301925,1539086,68.88173903469807
NC_004663.1,6260361,2681762,42.83717823940185,3578599,57.16282176059815
NC_004369.1,3147090,1987072,63.13998010860827,1160018,36.86001989139173
NC_002953.3,2799802,919745,32.85035870393692,1880057,67.14964129606308
NC_006274.1,5300915,1873974,35.351896795175925,3426941,64.64810320482408
NC_006677.1,2702173,1650277,61.07221854411246,1051896,38.92778145588754
NC_006840.2,2897536,1128676,38.95295865176481,1768860,61.04704134823519
NC_006841.2,1330333,492526,37.02276046674028,837807,62.97723953325972
NC_002976.3,2616530,841250,32.15136077170909,1775280,67.8486392282909
NC_003911.12,4109437,2639200,64.22290936690355,1470237,35.77709063309645
NC_007606.1,4369232,2239218,51.24969330994555,2130014,48.75030669005445
NC_007613.1,4519823,2314728,51.21280191724322,2205095,48.78719808275678
NC_002951.2,2809422,921983,32.8175332862062,1887439,67.1824667137938
NC_008710.1,917330,267117,29.118964821819848,650213,70.88103517818016
NC_007429.1,1044459,431389,41.30262652722606,613070,58.69737347277394
NC_005773.3,5928787,3439587,58.015020610455394,2489200,41.984979389544606
NC_007716.1,706569,189970,26.88626305428061,516599,73.11373694571938
NC_007484.1,3481691,1751904,50.31761865139669,1729787,49.68238134860331
NC_007517.1,3997420,2378845,59.50950863306833,1618575,40.49049136693167
NC_007677.1,3551823,2351901,66.21672870523109,1199922,33.78327129476891
NC_011969.1,5214195,1854293,35.56240225001174,3359902,64.43759774998826
NC_007643.1,4352825,2848835,65.44795621234486,1503990,34.55204378765514
NC_008086.1,1596366,623899,39.08245352256312,972467,60.91754647743688
NC_007946.1,5065741,2563477,50.60418604109448,2502264,49.39581395890552
