Assembly,Chromosome,Plasmid
GCF_000005825.2,NC_013791.2,NC_013792.1
GCF_000005825.2,NC_013791.2,NC_013793.1
GCF_000006605.1,NC_007164.1,NC_003080.1
GCF_000006645.1,NC_004088.1,NC_004838.1
GCF_000006685.1,NC_002620.2,NC_002182.1
GCF_000006725.1,NC_002488.3,NC_002489.3
GCF_000006725.1,NC_002488.3,NC_002490.1
GCF_000006925.2,NC_004337.2,NC_004851.1
GCF_000006945.2,NC_003197.2,NC_003277.2
GCF_000006965.1,NC_003047.1,NC_003037.1
GCF_000006965.1,NC_003047.1,NC_003078.1
GCF_000007165.1,NC_003919.1,NC_003921.3
GCF_000007165.1,NC_003919.1,NC_003922.1
GCF_000007245.1,NC_004556.1,NC_004554.1
GCF_000007525.1,NC_004307.2,NC_004943.1
GCF_000007605.1,NC_003361.3,NC_004720.1
GCF_000007625.1,NC_004557.1,NC_004565.1
GCF_000007645.1,NC_004461.1,NC_005008.1
GCF_000007645.1,NC_004461.1,NC_005007.1
GCF_000007645.1,NC_004461.1,NC_005006.1
GCF_000007645.1,NC_004461.1,NC_005005.1
GCF_000007645.1,NC_004461.1,NC_005004.1
GCF_000007645.1,NC_004461.1,NC_005003.1
GCF_000007725.1,NC_004545.1,NC_004555.1
GCF_000007765.2,NC_002971.4,NC_004704.2
GCF_000007785.1,NC_004668.1,NC_004669.1
GCF_000007785.1,NC_004668.1,NC_004671.1
GCF_000007785.1,NC_004668.1,NC_004670.1
GCF_000007805.1,NC_004578.1,NC_004633.1
GCF_000007805.1,NC_004578.1,NC_004632.1
GCF_000007825.1,NC_004722.1,NC_004721.2
GCF_000007885.1,NC_005810.1,NC_005814.1
GCF_000007885.1,NC_005810.1,NC_005813.1
GCF_000007885.1,NC_005810.1,NC_005815.1
GCF_000007885.1,NC_005810.1,NC_005816.1
GCF_000008005.1,NC_003909.8,NC_005707.1
GCF_000008105.1,NC_006905.1,NC_006855.1
GCF_000008105.1,NC_006905.1,NC_006856.1
GCF_000008125.1,NC_005835.1,NC_005838.1
GCF_000008445.1,NC_007530.2,NC_007322.2
GCF_000008445.1,NC_007530.2,NC_007323.3
GCF_000008505.1,NC_005957.1,NC_006578.1
GCF_000008565.1,NC_001263.1,NC_000959.1
GCF_000008565.1,NC_001263.1,NC_000958.1
GCF_000008565.1,NC_001264.1,NC_000959.1
GCF_000008565.1,NC_001264.1,NC_000958.1
GCF_000008625.1,NC_000918.1,NC_001880.1
GCF_000008685.2,NC_001318.1,NC_000957.1
GCF_000008685.2,NC_001318.1,NC_001904.1
GCF_000008685.2,NC_001318.1,NC_001849.2
GCF_000008685.2,NC_001318.1,NC_000955.2
GCF_000008685.2,NC_001318.1,NC_001850.1
GCF_000008685.2,NC_001318.1,NC_001903.1
GCF_000008685.2,NC_001318.1,NC_001851.2
GCF_000008685.2,NC_001318.1,NC_001852.1
GCF_000008685.2,NC_001318.1,NC_001853.1
GCF_000008685.2,NC_001318.1,NC_001854.1
GCF_000008685.2,NC_001318.1,NC_000948.1
GCF_000008685.2,NC_001318.1,NC_000949.1
GCF_000008685.2,NC_001318.1,NC_000950.1
GCF_000008685.2,NC_001318.1,NC_000951.1
GCF_000008685.2,NC_001318.1,NC_000952.1
GCF_000008685.2,NC_001318.1,NC_000953.1
GCF_000008685.2,NC_001318.1,NC_000954.1
GCF_000008685.2,NC_001318.1,NC_001855.1
GCF_000008685.2,NC_001318.1,NC_001856.1
GCF_000008685.2,NC_001318.1,NC_001857.2
GCF_000008685.2,NC_001318.1,NC_000956.1
GCF_000008765.1,NC_003030.1,NC_001988.2
GCF_000008865.2,NC_002695.2,NC_002127.1
GCF_000008865.2,NC_002695.2,NC_002128.1
GCF_000008925.1,NC_007929.1,NC_007930.1
GCF_000008925.1,NC_007929.1,NC_006529.1
GCF_000008925.1,NC_007929.1,NC_006530.1
GCF_000008945.1,NC_010816.1,NC_004252.1
GCF_000008945.1,NC_010816.1,NC_004253.1
GCF_000009065.1,NC_003143.1,NC_003131.1
GCF_000009065.1,NC_003143.1,NC_003134.1
GCF_000009065.1,NC_003143.1,NC_003132.1
GCF_000009125.1,NC_003295.1,NC_003296.1
GCF_000009165.1,NC_007508.1,NC_007504.1
GCF_000009165.1,NC_007508.1,NC_007505.1
GCF_000009165.1,NC_007508.1,NC_007506.1
GCF_000009165.1,NC_007508.1,NC_007507.1
GCF_000009205.2,NC_009089.1,NC_008226.2
GCF_000009265.1,NC_008380.1,NC_008382.1
GCF_000009265.1,NC_008380.1,NC_008383.1
GCF_000009265.1,NC_008380.1,NC_008379.1
GCF_000009265.1,NC_008380.1,NC_008381.1
GCF_000009265.1,NC_008380.1,NC_008384.1
GCF_000009265.1,NC_008380.1,NC_008378.1
GCF_000009285.1,NC_008313.1,NC_005241.1
GCF_000009285.1,NC_008314.1,NC_005241.1
GCF_000009305.1,NC_008229.1,NC_008230.1
GCF_000009345.1,NC_008800.1,NC_008791.1
GCF_000009485.1,NC_011000.1,NC_011003.1
GCF_000009485.1,NC_011001.1,NC_011003.1
GCF_000009485.1,NC_011002.1,NC_011003.1
GCF_000009585.1,NC_017333.1,NC_017334.1
GCF_000009585.1,NC_017333.1,NC_017335.1
GCF_000009585.1,NC_017333.1,NC_017336.1
GCF_000009605.1,NC_002528.1,NC_002253.1
GCF_000009605.1,NC_002528.1,NC_002252.1
GCF_000009625.1,NC_002678.2,NC_002679.1
GCF_000009625.1,NC_002678.2,NC_002682.1
